B2	找B2检票口
北8桥柱	找北8桥柱
8号到达口	找8号到达口
A19口	找A19检票口
人工取票	人工窗口
西侧进站口	找西进站口
a10检票口	找A10检票口
19号口	找19号到达口
北1停车场	找北1停车场
南2洞口	找南2桥柱
快速接客区	找p3停车场
充电	借充电宝
到达口10	找10号到达口
27出口	找27号到达口
72街	找72街
出口	找到达口
C21检票口	找C21检票口
出口12	找12号到达口
A2口	找A2检票口
北10桥洞	找北10桥柱
西出口	找西出口
到达口18	找18号到达口
b25号口	找B25检票口
21出口	找21号到达口
出站口2	找2号出站口
小件行李寄存处	找行李寄存处
南4洞口	找南4桥柱
11出口	找11号到达口
出口21	找21号到达口
北,11号桥	找北11桥柱
A6检票口	找A6检票口
公交车	坐公交
3层	坐车
3号出口	找3号到达口
检票口b10	找B10检票口
21号口	找21号到达口
卫生间	找卫生间
检票口C26	找C26检票口
人工,服务台,售票	人工窗口
17出口	找17号到达口
p3停车场	找p3停车场
D26检票口	找D26检票口
检票口a13	找A13检票口
南1桥墩	找南1桥柱
汤上功夫	找汤上功夫
G入口	找G口
C20检票口	找C20检票口
检票口A17	找A17检票口
b23	找B23检票口
地名1,城轨	坐城轨
5号出口	找5号到达口
25号到达口	找25号到达口
b25口	找B25检票口
b20号口	找B20检票口
南14桥柱	找南14桥柱
东侧的进站口	找东进站口
b22检票口	找B22检票口
动车,坐车	坐车
A23号口	找A23检票口
h入口	找H口
B5检票口	找B5检票口
南14桥	找南14桥柱
南10桥洞	找南10桥柱
东面的进站口	找东进站口
专车	找p1停车场
充电宝	借充电宝
西在哪个方向	找西边
地名,等车	坐车
北4柱	找北4桥柱
北9桥墩	找北9桥柱
c23口	找C23检票口
南在哪个方向	找南边
北1桥柱	找北1桥柱
b15口	找B15检票口
C区	找检票C区
北门的进站口	找北进站口
a25检票口	找A25检票口
等车	坐车
p10	找p10停车场
人工取票	人工窗口
广南汽车站	坐大巴
厕所	找卫生间
a26号口	找A26检票口
取票	找自助取票机
北门的进站口	找北进站口
西出口,出发厅	找西出发平台
地名,高铁,坐车	坐车
1号出口	找1号到达口
北6洞口	找北6桥柱
d22检票口	找D22检票口
B5	找B5检票口
b23口	找B23检票口
检票口c24	找C24检票口
a28检票口	找A28检票口
北3洞口	找北3桥柱
柜台	人工窗口
南2柱	找南2桥柱
汤粉	找汤上功夫
b15	找B15检票口
便利店	找便利店
动车票	人工窗口
B3号口	找B3检票口
行李托运,托运	找行李托运
出口4	找4号到达口
北6桥洞	找北6桥柱
13号口	找13号到达口
上高铁	坐车
A18检票口	找A18检票口
l入口	找L口
北面的进站口	找北进站口
A3	找A3检票口
D22检票口	找D22检票口
北3桥柱	找北3桥柱
就餐,面条	用餐
D23号口	找D23检票口
J出口	找J口
南7洞口	找南7桥柱
卫生间	找卫生间
进站,地名	坐车
11号口	找11号到达口
a11号口	找A11检票口
b14	找B14检票口
专车	找p1停车场
B16口	找B16检票口
B25口	找B25检票口
买票	买票
8出口	找8号到达口
A16检票口	找A16检票口
a21	找A21检票口
进站口北	找北进站口
核验护照	找处理12306账户
a22检票口	找A22检票口
24号出口	找24号到达口
a14号口	找A14检票口
车,出站口	找到达口
D28	找D28检票口
买火车票	人工窗口
2出站口	找2号出站口
a区	找检票A区
A9口	找A9检票口
北11柱	找北11桥柱
b19号口	找B19检票口
西面,出发平台	找西出发平台
坐车	坐车
进站口南	找南进站口
A23	找A23检票口
P6停车场	找p6停车场
a12口	找A12检票口
B17口	找B17检票口
上三楼	坐车
检票口a23	找A23检票口
西侧的出站口	找西出站口
4号出口	找4号到达口
c27	找C27检票口
出口27	找27号到达口
B5	找B5检票口
出口9	找9号到达口
B17口	找B17检票口
b11检票口	找B11检票口
北14桥柱	找北14桥柱
A6	找A6检票口
b入口	找B口
北9桥	找北9桥柱
B19检票口	找B19检票口
d26号口	找D26检票口
a8号口	找A8检票口
南1桥柱	找南1桥柱
b24检票口	找B24检票口
185服务台	找185服务台
23出口	找23号到达口
检票口D27	找D27检票口
k口	找K口
检票口d23	找D23检票口
北,10号桥	找北10桥柱
班车,出站口	找到达口
c21口	找C21检票口
d21	找D21检票口
72街	找72街
A9口	找A9检票口
西面进站口	找西进站口
23号到达口	找23号到达口
北1停车场	找北1停车场
d21	找D21检票口
南2桥墩	找南2桥柱
母婴	找母婴室
14号口	找14号到达口
B1检票口	找B1检票口
北12桥墩	找北12桥柱
检票口A3	找A3检票口
充电	借充电宝
a9检票口	找A9检票口
出站口西	找西出站口
南,3号桥	找南3桥柱
北,14号桥	找北14桥柱
B1检票口	找B1检票口
检票口A19	找A19检票口
3楼,上去	坐车
检票口a27	找A27检票口
北停车场	找北1停车场
东侧出站口	找东出站口
公交车	坐公交
行李寄存处	找行李寄存处
l入口	找L口
北10桥	找北10桥柱
检票口a2	找A2检票口
城轨,候车室,地名1	坐城轨
南2桥柱	找南2桥柱
检票口	坐车
北1停车场	找北1停车场
北3	找北3桥柱
B21检票口	找B21检票口
北,12号桥	找北12桥柱
b13	找B13检票口
a21检票口	找A21检票口
3出站口	找3号出站口
A22检票口	找A22检票口
北面出站口	找北出站口
购票	买票
改签	找改签处
c24检票口	找C24检票口
12号口	找12号到达口
出口11	找11号到达口
b11检票口	找B11检票口
动车票,取	找自助取票机
H入口	找H口
a3检票口	找A3检票口
取款机	找ATM机
检票口D25	找D25检票口
出站口西	找西出站口
b12	找B12检票口
汤上功夫	找汤上功夫
北6柱	找北6桥柱
D20号口	找D20检票口
改票	找改签处
到达口12	找12号到达口
检票口C26	找C26检票口
北,8号桥	找北8桥柱
B14检票口	找B14检票口
南7	找南7桥柱
d23检票口	找D23检票口
北6桥墩	找北6桥柱
1号到达口	找1号到达口
H出口	找H口
拿车票	找自助取票机
南入口	找南门
13号出口	找13号到达口
身份证核验	找处理12306账户
b14检票口	找B14检票口
北14柱	找北14桥柱
到达口28	找28号到达口
北4桥墩	找北4桥柱
北3桥	找北3桥柱
D20	找D20检票口
b27检票口	找B27检票口
b19口	找B19检票口
C23号口	找C23检票口
185	找185服务台
北,1号桥	找北1桥柱
C21口	找C21检票口
a11号口	找A11检票口
a26	找A26检票口
d25检票口	找D25检票口
a16	找A16检票口
b口	找B口
出发厅	找出发平台
c23	找C23检票口
b21号口	找B21检票口
全家便利店	找全家便利店
A8号口	找A8检票口
出口2	找2号到达口
B26口	找B26检票口
取票,取不出来	人工窗口
a16检票口	找A16检票口
出站口3	找3号出站口
a13号口	找A13检票口
检票口C27	找C27检票口
a16口	找A16检票口
B3口	找B3检票口
b26口	找B26检票口
C21	找C21检票口
a13	找A13检票口
2号线	坐地铁
c27检票口	找C27检票口
4进站口	找4号进站口
b8检票口	找B8检票口
10出口	找10号到达口
a14检票口	找A14检票口
北2桥洞	找北2桥柱
检票口b1	找B1检票口
a2	找A2检票口
18号口	找18号到达口
车,出站口	找到达口
出发厅	找出发平台
28出口	找28号到达口
1号口	找1号到达口
动车票	人工窗口
D20口	找D20检票口
b28口	找B28检票口
检票口B12	找B12检票口
北7柱	找北7桥柱
A1	找A1检票口
出站口北	找北出站口
检票口b3	找B3检票口
地名1,候车	坐城轨
检票口B11	找B11检票口
检票口a17	找A17检票口
坐高铁	坐车
北12桥	找北12桥柱
地名4,大巴	坐大巴
南3柱	找南3桥柱
A24口	找A24检票口
D23口	找D23检票口
A12口	找A12检票口
B12	找B12检票口
高铁	坐车
南13	找南13桥柱
进站口6	找6号进站口
b4	找B4检票口
a1	找A1检票口
25号出口	找25号到达口
吸烟处	找吸烟处
进站口南	找南进站口
b1检票口	找B1检票口
subway	坐地铁
a17检票口	找A17检票口
北13桥柱	找北13桥柱
a16	找A16检票口
c28检票口	找C28检票口
城轨,哪个口	找到达口
1号出口	找1号到达口
a28检票口	找A28检票口
a21	找A21检票口
26号到达口	找26号到达口
c28	找C28检票口
A12号口	找A12检票口
检票口b12	找B12检票口
地名,坐车	坐车
a4口	找A4检票口
北在哪里	找北边
东出口	找东出口
东面,出发平台	找东出发平台
南11	找南11桥柱
吃,吃饭	用餐
南门的进站口	找南进站口
北1停车场	找北1停车场
公交车站	坐公交
进站口	坐车
北,1号桥	找北1桥柱
10号口	找10号到达口
到达口17	找17号到达口
B25口	找B25检票口
地名,候车大厅	坐车
柜台	人工窗口
p10停车场	找p10停车场
东面进站口	找东进站口
地名,换乘	坐车
南5	找南5桥柱
14号到达口	找14号到达口
上三楼	坐车
检票口B7	找B7检票口
西广场	找西广场
A1检票口	找A1检票口
出站口3	找3号出站口
检票口B4	找B4检票口
西出口,出发厅	找西出发平台
C25号口	找C25检票口
B28号口	找B28检票口
A27号口	找A27检票口
A3号口	找A3检票口
检票口A13	找A13检票口
a22口	找A22检票口
A25号口	找A25检票口
临时身份证	办临时身份证
7号线	坐地铁
检票口B26	找B26检票口
1号口	找1号到达口
到达口25	找25号到达口
B5口	找B5检票口
b12口	找B12检票口
检票口A27	找A27检票口
检票口c24	找C24检票口
D25号口	找D25检票口
出口15	找15号到达口
b9口	找B9检票口
等车	坐车
西边的爱心驿站	找西门爱心驿站
丢失物品	找失物招领处
南9桥	找南9桥柱
p8停车场	找p8停车场
A4检票口	找A4检票口
6号出站口	找6号出站口
地名,候车大厅	坐车
南7桥洞	找南7桥柱
南13桥洞	找南13桥柱
身份证,忘带,通行证,驾驶证	人工窗口
南6柱	找南6桥柱
a26检票口	找A26检票口
P1停车场	找p1停车场
地铁口	坐地铁
出站口1	找1号出站口
南8桥洞	找南8桥柱
南4桥	找南4桥柱
南出站口	找南出站口
C27	找C27检票口
A26号口	找A26检票口
a28口	找A28检票口
快递	找中铁快运
p10	找p10停车场
存东西	找行李寄存处
b8检票口	找B8检票口
a6口	找A6检票口
南13柱	找南13桥柱
b3检票口	找B3检票口
1号到达口	找1号到达口
a16口	找A16检票口
地名,过来,高铁,到达口	找到达口
取票,取不出来	人工窗口
b19口	找B19检票口
d23检票口	找D23检票口
15号口	找15号到达口
北2桥墩	找北2桥柱
去哪,买票	买票
A14检票口	找A14检票口
B18号口	找B18检票口
b区	找检票B区
到达口4	找4号到达口
行李寄存	找行李寄存处
南出口	找南门
a7口	找A7检票口
快递	找中铁快运
c25口	找C25检票口
到达口14	找14号到达口
b2检票口	找B2检票口
a16号口	找A16检票口
北5桥柱	找北5桥柱
A9	找A9检票口
哪里坐	坐车
a10检票口	找A10检票口
A17号口	找A17检票口
检票口b26	找B26检票口
坐车	坐车
进站口北	找北进站口
18号口	找18号到达口
D21	找D21检票口
d20口	找D20检票口
检票口A9	找A9检票口
a26	找A26检票口
4出口	找4号到达口
22号口	找22号到达口
高铁票,取票	找自助取票机
坐车	坐车
身份证核验	找处理12306账户
a10口	找A10检票口
检票口a14	找A14检票口
南11桥洞	找南11桥柱
B24检票口	找B24检票口
A12口	找A12检票口
检票口b8	找B8检票口
3号出口	找3号到达口
到达口22	找22号到达口
B24	找B24检票口
D27	找D27检票口
进站	坐车
城轨,入口	坐城轨
B9口	找B9检票口
a27	找A27检票口
B4号口	找B4检票口
D27口	找D27检票口
北7桥柱	找北7桥柱
南14桥洞	找南14桥柱
B5	找B5检票口
d22号口	找D22检票口
密码忘记了	找处理12306账户
c20口	找C20检票口
北9柱	找北9桥柱
南门	找南门
B3口	找B3检票口
a20检票口	找A20检票口
南3	找南3桥柱
退票	人工窗口
c出口	找C口
东侧,出发平台	找东出发平台
北7洞口	找北7桥柱
检票口b16	找B16检票口
南13桥	找南13桥柱
南5桥洞	找南5桥柱
B23检票口	找B23检票口
c28	找C28检票口
F口	找F口
北7	找北7桥柱
南门进站口	找南进站口
H入口	找H口
地名,买票	买票
南10桥墩	找南10桥柱
出口11	找11号到达口
b18号口	找B18检票口
检票口b10	找B10检票口
d26口	找D26检票口
L口	找L口
出发平台	找出发平台
检票口	坐车
A27口	找A27检票口
b22号口	找B22检票口
北4柱	找北4桥柱
检票口A25	找A25检票口
检票口C23	找C23检票口
检票口D27	找D27检票口
2线地铁	坐地铁
南13洞口	找南13桥柱
a12	找A12检票口
a5口	找A5检票口
订高铁票	人工窗口
D22口	找D22检票口
进站口东	找东进站口
检票口b16	找B16检票口
动车,出站口	找到达口
B20	找B20检票口
北在哪个方向	找北边
南10桥	找南10桥柱
东侧,出发平台	找东出发平台
东边的进站口	找东进站口
B28检票口	找B28检票口
7号线	坐地铁
A22检票口	找A22检票口
西门爱心驿站	找西门爱心驿站
a17	找A17检票口
南入口	找南门
检票口A3	找A3检票口
b24口	找B24检票口
A21号口	找A21检票口
南站南路	找南站南路
A26口	找A26检票口
b28	找B28检票口
检票口c21	找C21检票口
地铁口	坐地铁
A7口	找A7检票口
买票,地名	买票
A9	找A9检票口
东在哪里	找东边
12号到达口	找12号到达口
c口	找C口
A12号口	找A12检票口
车,出站口	找到达口
出口26	找26号到达口
19号出口	找19号到达口
a2检票口	找A2检票口
广州南站汽车客运站	坐大巴
a17检票口	找A17检票口
东出发平台	找东出发平台
人工,服务台,售票	人工窗口
东面的爱心驿站	找东门爱心驿站
检票口C28	找C28检票口
出口13	找13号到达口
南面的进站口	找南进站口
19号到达口	找19号到达口
b18	找B18检票口
A15口	找A15检票口
B18	找B18检票口
等车	坐车
西侧,出发平台	找西出发平台
检票口B27	找B27检票口
西边,出发平台	找西出发平台
l出口	找L口
南10洞口	找南10桥柱
高铁快递	找高铁快递
北9桥洞	找北9桥柱
出口11	找11号到达口
进站口东	找东进站口
东侧出站口	找东出站口
17出口	找17号到达口
a27	找A27检票口
A19口	找A19检票口
检票口b12	找B12检票口
A10口	找A10检票口
e出口	找E口
a23口	找A23检票口
b14检票口	找B14检票口
B13号口	找B13检票口
A8口	找A8检票口
北出站口	找北出站口
进站口	坐车
a11号口	找A11检票口
南路	找南站南路
打印车票	找自助取票机
西面进站口	找西进站口
进站口1	找1号进站口
C20检票口	找C20检票口
刷身份证,进去	坐城轨
检票口b7	找B7检票口
f出口	找F口
20出口	找20号到达口
C22号口	找C22检票口
南14桥墩	找南14桥柱
身份证,小孩票,取不出来	人工窗口
吃饭	用餐
b9号口	找B9检票口
b20检票口	找B20检票口
改签	找改签处
乘车	坐车
购票	买票
A5口	找A5检票口
巴士	坐大巴
a5号口	找A5检票口
a27检票口	找A27检票口
580服务台	找西门爱心驿站
ATM机	找ATM机
京东快递	找京东快递
地名,高铁,上三楼	坐车
A14	找A14检票口
a23检票口	找A23检票口
3层	坐车
b23口	找B23检票口
东边,出发平台	找东出发平台
c23	找C23检票口
a8号口	找A8检票口
ATM	找ATM机
A20检票口	找A20检票口
a13检票口	找A13检票口
C26检票口	找C26检票口
进站,地名	坐车
2号出口	找2号到达口
人工取票	人工窗口
南门的出站口	找南出站口
B5检票口	找B5检票口
g入口	找G口
b2检票口	找B2检票口
a26口	找A26检票口
C27号口	找C27检票口
南6桥	找南6桥柱
D24号口	找D24检票口
地名,买票	买票
B10口	找B10检票口
A10检票口	找A10检票口
a12	找A12检票口
P3	找p3停车场
B5	找B5检票口
东出口	找东出口
C27检票口	找C27检票口
3进站口	找3号进站口
h入口	找H口
西侧的进站口	找西进站口
西出口	找西出口
南11洞口	找南11桥柱
b22号口	找B22检票口
C20	找C20检票口
北,11号桥	找北11桥柱
出站口	找到达口
d28口	找D28检票口
回乡证核验	找处理12306账户
西门的爱心驿站	找西门爱心驿站
8号到达口	找8号到达口
北6桥墩	找北6桥柱
c28检票口	找C28检票口
7号线,地铁	坐地铁
28出口	找28号到达口
到达口1	找1号到达口
西侧的出站口	找西出站口
b13检票口	找B13检票口
存东西	找行李寄存处
检票口d21	找D21检票口
d22口	找D22检票口
23号口	找23号到达口
地名4,坐车	坐大巴
地名1	坐城轨
27号到达口	找27号到达口
c25	找C25检票口
28号口	找28号到达口
C22	找C22检票口
广南汽车站	坐大巴
b18口	找B18检票口
b28检票口	找B28检票口
d22号口	找D22检票口
南,10号桥	找南10桥柱
南站北路	找南站北路
出口3	找3号到达口
A6检票口	找A6检票口
b23号口	找B23检票口
南14桥墩	找南14桥柱
行李寄存	找行李寄存处
南2洞口	找南2桥柱
高铁,哪个口	找到达口
去哪,买票	买票
B20号口	找B20检票口
专车	找p1停车场
买票	买票
检票口a21	找A21检票口
餐饮	用餐
东广场	找东广场
东边的出站口	找东出站口
13号口	找13号到达口
B17口	找B17检票口
西侧进站口	找西进站口
检票口A23	找A23检票口
北2桥墩	找北2桥柱
20号到达口	找20号到达口
西进站口	找西进站口
东边进站口	找东进站口
失物招领处	找失物招领处
检票口b2	找B2检票口
13号口	找13号到达口
G入口	找G口
北7柱	找北7桥柱
北7	找北7桥柱
12号口	找12号到达口
买票	买票
B18检票口	找B18检票口
餐饮	用餐
到3楼	坐车
南8柱	找南8桥柱
a14	找A14检票口
东面出站口	找东出站口
南6	找南6桥柱
北14桥柱	找北14桥柱
4号进站口	找4号进站口
南门	找南门
地名,高铁,上三楼	坐车
P5	找p5停车场
B区	找检票B区
A12号口	找A12检票口
B13	找B13检票口
检票口A17	找A17检票口
b10	找B10检票口
蒸功夫	找蒸功夫
a12号口	找A12检票口
北1桥柱	找北1桥柱
取票	找自助取票机
怎么改	找改签处
检票口B27	找B27检票口
9号口	找9号到达口
a21	找A21检票口
出口18	找18号到达口
A8	找A8检票口
南,11号桥	找南11桥柱
南边进站口	找南进站口
C26检票口	找C26检票口
A25口	找A25检票口
a22检票口	找A22检票口
西出口,出发厅	找西出发平台
a14口	找A14检票口
4出口	找4号到达口
北,3号桥	找北3桥柱
c25	找C25检票口
地名1,城轨	坐城轨
检票口B4	找B4检票口
到达口17	找17号到达口
a23号口	找A23检票口
2号线	坐地铁
检票口A12	找A12检票口
动车,坐车	坐车
检票口B26	找B26检票口
进站,地名	坐车
A5	找A5检票口
南门的进站口	找南进站口
检票口A14	找A14检票口
西侧的出站口	找西出站口
取票口	找自助取票机
北13	找北13桥柱
A17	找A17检票口
进站口5	找5号进站口
充电宝	借充电宝
北6桥洞	找北6桥柱
A4口	找A4检票口
去哪,买票	买票
3号进站口	找3号进站口
D20口	找D20检票口
a28号口	找A28检票口
北13桥	找北13桥柱
东出发平台	找东出发平台
c24检票口	找C24检票口
乘车	坐车
检票口a18	找A18检票口
购票	买票
B11号口	找B11检票口
地名1,轻轨	坐城轨
A10检票口	找A10检票口
B20口	找B20检票口
C25口	找C25检票口
北14桥洞	找北14桥柱
2号地铁	坐地铁
11号出口	找11号到达口
东边进站口	找东进站口
南11桥柱	找南11桥柱
北4桥墩	找北4桥柱
B17号口	找B17检票口
a19	找A19检票口
检票口C28	找C28检票口
b10	找B10检票口
b4号口	找B4检票口
P4	找p4停车场
A21号口	找A21检票口
出口7	找7号到达口
检票口d27	找D27检票口
13号口	找13号到达口
a6口	找A6检票口
b21检票口	找B21检票口
检票口b12	找B12检票口
20出口	找20号到达口
B13检票口	找B13检票口
南,14号桥	找南14桥柱
北10桥洞	找北10桥柱
21出口	找21号到达口
北11	找北11桥柱
北侧的进站口	找北进站口
上三楼	坐车
A26号口	找A26检票口
地名,高铁,出站口	找到达口
检票口A24	找A24检票口
B25口	找B25检票口
南12桥洞	找南12桥柱
a24号口	找A24检票口
C21检票口	找C21检票口
a17	找A17检票口
南,2号桥	找南2桥柱
B17	找B17检票口
c26检票口	找C26检票口
检票口D26	找D26检票口
北路	找南站北路
D24口	找D24检票口
a10号口	找A10检票口
东侧的进站口	找东进站口
检票口	坐车
存行李	找行李寄存处
北8桥洞	找北8桥柱
d21号口	找D21检票口
B20号口	找B20检票口
坐出租车	坐出租车
东侧进站口	找东进站口
C27口	找C27检票口
c口	找C口
检票口B20	找B20检票口
D20	找D20检票口
怎么改	找改签处
22号口	找22号到达口
检票口a26	找A26检票口
b17检票口	找B17检票口
8号口	找8号到达口
南14桥柱	找南14桥柱
汽车	坐大巴
2线地铁	坐地铁
南14	找南14桥柱
a22口	找A22检票口
进站口	坐车
17出口	找17号到达口
西面进站口	找西进站口
检票口C25	找C25检票口
进站口	坐车
顺风车	找p1停车场
J入口	找J口
c26	找C26检票口
B27口	找B27检票口
南6	找南6桥柱
15号出口	找15号到达口
6出口	找6号到达口
上去,3层	坐车
2号出口	找2号到达口
公共汽车	坐公交
B4口	找B4检票口
长途,汽车站	坐大巴
d22口	找D22检票口
公交车站	坐公交
D23口	找D23检票口
B6	找B6检票口
北8洞口	找北8桥柱
取票	找自助取票机
7号口	找7号到达口
P5停车场	找p5停车场
b15口	找B15检票口
185服务台	找185服务台
a3口	找A3检票口
A10	找A10检票口
南侧的出站口	找南出站口
a6号口	找A6检票口
考核护照	找处理12306账户
J入口	找J口
A24号口	找A24检票口
进站	坐车
K口	找K口
b6口	找B6检票口
b7口	找B7检票口
a8	找A8检票口
北5桥柱	找北5桥柱
b17口	找B17检票口
B12检票口	找B12检票口
16号口	找16号到达口
19出口	找19号到达口
b16	找B16检票口
c27检票口	找C27检票口
广南汽车客运站	坐大巴
b8号口	找B8检票口
检票口C23	找C23检票口
c23检票口	找C23检票口
B20检票口	找B20检票口
26号口	找26号到达口
A7检票口	找A7检票口
C25号口	找C25检票口
出口4	找4号到达口
d21号口	找D21检票口
A7口	找A7检票口
检票口b28	找B28检票口
检票口B8	找B8检票口
c21检票口	找C21检票口
a11	找A11检票口
出去,东门	找东门
检票口A23	找A23检票口
b21口	找B21检票口
轻轨,地名1	坐城轨
B1号口	找B1检票口
北门出站口	找北出站口
北1桥柱	找北1桥柱
检票口C25	找C25检票口
C区	找检票C区
b28号口	找B28检票口
到3楼	坐车
东面,出发平台	找东出发平台
问询处	找问询处
L口	找L口
出去,东广场	找东广场
北4桥	找北4桥柱
南5洞口	找南5桥柱
高铁票,取票	找自助取票机
22号口	找22号到达口
西侧进站口	找西进站口
入台证	人工窗口
动车,坐车	坐车
到达口8	找8号到达口
检票口A23	找A23检票口
停车场	找停车场
a9检票口	找A9检票口
15号到达口	找15号到达口
b2号口	找B2检票口
订动车票	人工窗口
b3口	找B3检票口
2号线	坐地铁
母婴	找母婴室
C22号口	找C22检票口
动车,出站口	找到达口
北12桥墩	找北12桥柱
13号出口	找13号到达口
南3桥洞	找南3桥柱
的士	坐出租车
b7检票口	找B7检票口
西边的爱心驿站	找西门爱心驿站
A28检票口	找A28检票口
3层	坐车
南,4号桥	找南4桥柱
北5	找北5桥柱
南13洞口	找南13桥柱
22出口	找22号到达口
南6柱	找南6桥柱
南3桥洞	找南3桥柱
出站口北	找北出站口
B4口	找B4检票口
24号口	找24号到达口
地名,高铁,上三楼	坐车
d区	找检票D区
火车票,取票	找自助取票机
2号出站口	找2号出站口
到达口14	找14号到达口
南4洞口	找南4桥柱
到3楼	坐车
检票口A14	找A14检票口
北面出站口	找北出站口
北11洞口	找北11桥柱
a区	找检票A区
18号出口	找18号到达口
b10口	找B10检票口
a9号口	找A9检票口
出站口	找出站口
到达口22	找22号到达口
d27检票口	找D27检票口
B10号口	找B10检票口
d22检票口	找D22检票口
西出口	找西出口
检票口b21	找B21检票口
取票	找自助取票机
23号到达口	找23号到达口
南面的进站口	找南进站口
汽车客运站	坐大巴
地名,高铁,出站口	找到达口
到达口7	找7号到达口
检票口B4	找B4检票口
A13口	找A13检票口
B20号口	找B20检票口
a18口	找A18检票口
A7口	找A7检票口
检票口C25	找C25检票口
a20	找A20检票口
出站口	找出站口
p2	找p2停车场
母婴处	找母婴室
动车票,取票	找自助取票机
坐车	坐车
北进站口	找北进站口
k入口	找K口
C27检票口	找C27检票口
检票口a18	找A18检票口
f出口	找F口
充电宝	借充电宝
a10	找A10检票口
地名,候车厅	坐车
出口22	找22号到达口
A10号口	找A10检票口
坐出租车	坐出租车
南2洞口	找南2桥柱
地名,过来,高铁,到达口	找到达口
3层	坐车
高铁票,取票	找自助取票机
D27口	找D27检票口
a13检票口	找A13检票口
d25口	找D25检票口
南9桥柱	找南9桥柱
快餐	用餐
d26检票口	找D26检票口
检票口c22	找C22检票口
北2桥柱	找北2桥柱
7号口	找7号到达口
北入口	找北门
2线地铁	坐地铁
检票口d28	找D28检票口
出站口6	找6号出站口
检票口B22	找B22检票口
3号进站口	找3号进站口
21号出口	找21号到达口
出站口3	找3号出站口
D24口	找D24检票口
南1桥	找南1桥柱
10号到达口	找10号到达口
b4号口	找B4检票口
南,10号桥	找南10桥柱
g出口	找G口
车,出站口	找到达口
南12洞口	找南12桥柱
2出站口	找2号出站口
检票口A21	找A21检票口
B1口	找B1检票口
城轨,哪个口	找到达口
11号出口	找11号到达口
17号口	找17号到达口
地名,取不出来,票	人工窗口
北路	找南站北路
b10检票口	找B10检票口
东侧的爱心驿站	找东门爱心驿站
北7洞口	找北7桥柱
南,4号桥	找南4桥柱
28号到达口	找28号到达口
A12	找A12检票口
12出口	找12号到达口
到达口26	找26号到达口
检票口a16	找A16检票口
南4	找南4桥柱
北,12号桥	找北12桥柱
南6桥柱	找南6桥柱
进站	坐车
A22	找A22检票口
a23号口	找A23检票口
a21检票口	找A21检票口
A27	找A27检票口
出发厅	找出发平台
9出口	找9号到达口
北4洞口	找北4桥柱
23号口	找23号到达口
北3桥洞	找北3桥柱
p3	找p3停车场
A2口	找A2检票口
d21检票口	找D21检票口
b5口	找B5检票口
西侧,出发平台	找西出发平台
南,5号桥	找南5桥柱
退了	人工窗口
北3桥洞	找北3桥柱
A11	找A11检票口
检票口c26	找C26检票口
买票	买票
北5洞口	找北5桥柱
B7号口	找B7检票口
北14柱	找北14桥柱
北边的进站口	找北进站口
北13桥	找北13桥柱
北14桥柱	找北14桥柱
A7检票口	找A7检票口
到达口4	找4号到达口
北边的出站口	找北出站口
南5	找南5桥柱
买的票,取	找自助取票机
出发平台	找出发平台
的士	坐出租车
a26口	找A26检票口
南站汽车客运站	坐大巴
A10号口	找A10检票口
到达	找到达口
A2检票口	找A2检票口
A14口	找A14检票口
西门进站口	找西进站口
南9洞口	找南9桥柱
C21	找C21检票口
检票口C24	找C24检票口
问询处	找问询处
a20	找A20检票口
取票	找自助取票机
检票口a13	找A13检票口
北11柱	找北11桥柱
b24口	找B24检票口
11号口	找11号到达口
北路	找南站北路
d25检票口	找D25检票口
e入口	找E口
b21口	找B21检票口
6号口	找6号到达口
检票口b1	找B1检票口
A25	找A25检票口
b11号口	找B11检票口
北11桥洞	找北11桥柱
a4号口	找A4检票口
考核回乡证	找处理12306账户
B8检票口	找B8检票口
B23口	找B23检票口
12号出口	找12号到达口
出发平台	找出发平台
订高铁票	人工窗口
上去,3楼	坐车
B11	找B11检票口
上高铁	坐车
25号出口	找25号到达口
北5桥墩	找北5桥柱
A24	找A24检票口
检票口b26	找B26检票口
D25号口	找D25检票口
汽车客运站	坐大巴
用餐	用餐
H出口	找H口
a4	找A4检票口
B5号口	找B5检票口
d28	找D28检票口
西在哪个方向	找西边
南4桥柱	找南4桥柱
7号,地铁站	坐地铁
d28口	找D28检票口
A2	找A2检票口
12出口	找12号到达口
d21检票口	找D21检票口
高铁快递	找高铁快递
北11桥柱	找北11桥柱
a24口	找A24检票口
2号出口	找2号到达口
a27口	找A27检票口
上三楼	坐车
便利店	找便利店
检票口C23	找C23检票口
b19口	找B19检票口
a3号口	找A3检票口
城轨,坐车	坐车
2出站口	找2号出站口
2号线,地铁	坐地铁
取票	找自助取票机
进站,地名	坐车
A27检票口	找A27检票口
充电宝	借充电宝
小件行李寄存处	找行李寄存处
上三楼	坐车
快速接人	找p3停车场
地名,过来,换乘	坐车
北6桥墩	找北6桥柱
a12号口	找A12检票口
高铁,哪个口	找到达口
a8号口	找A8检票口
南13桥柱	找南13桥柱
D24号口	找D24检票口
a20	找A20检票口
A10号口	找A10检票口
检票口B7	找B7检票口
B19口	找B19检票口
检票口a3	找A3检票口
检票口b5	找B5检票口
南3桥墩	找南3桥柱
A3口	找A3检票口
身份证忘带	办临时身份证
身份证明	办临时身份证
北11	找北11桥柱
北13桥墩	找北13桥柱
出口10	找10号到达口
